Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
954,Cambodia,H014901,2007-01-24,2007,1,24,26.9,6.94,13.0,17.31,1.029,0.393,0.377,0.032,1.451,0.164,0.285,0.01,0.012,0.064,7.767,4.069
819,Cambodia,H014901,2006-02-20,2006,2,20,29.4,7.27,2.0,18.5,0.795,0.498,0.378,0.038,1.156,0.167,0.389,0.011,0.007,0.036,9.3,0.567
167,Cambodia,H014901,1997-06-12,1997,6,12,30.0,7.06,74.0,15.1,0.88,0.422,0.37,0.04,0.982,0.23,0.374,0.21,0.06,0.01,7.14,2.9
512,Cambodia,H014901,2003-11-21,2003,11,21,27.2,6.5,31.0,12.6,0.728,0.36,0.19,0.03,1.108,0.02,0.257,0.128,0.022,0.072,8.144,2.2
505,Cambodia,H014901,2003-01-14,2003,1,14,30.0,7.3,7.33,17.72,1.027,0.402,0.252,0.034,1.284,0.015,0.332,0.147,0.013,0.016,12.687,0.424
45,Cambodia,H014901,1995-11-19,1995,11,19,27.5,7.61,54.0,14.2,0.517,0.551,0.31,0.03,1.039,0.202,0.136,0.182,0.02,0.04,7.46,1.2
957,Cambodia,H014901,2007-04-22,2007,4,22,29.5,6.65,23.0,18.76,0.972,0.35,0.407,0.044,1.318,0.237,0.299,0.053,0.009,0.015,6.737,5.742
91,Cambodia,H014901,1996-04-18,1996,4,18,30.5,7.27,6.0,20.2,1.036,0.488,0.4,0.04,1.5,0.256,0.255,0.065,0.01,0.009,7.18,3.2
583,Cambodia,H014901,2004-02-22,2004,2,22,28.2,7.16,4.67,20.7,0.959,0.511,0.51,0.035,1.433,0.014,0.536,0.065,0.012,0.039,7.982,2.04
1533,Cambodia,H014901,2013-06-19,2013,6,19,30.5,6.8,51.0,17.3,1.166,0.161,0.28,0.042,1.326,0.198,0.275,0.349,0.047,0.185,7.893,1.076
169,Cambodia,H014901,1997-12-26,1997,12,26,28.0,7.72,12.0,17.2,1.14,0.522,0.2,0.03,1.423,0.141,0.235,0.08,0.01,0.01,8.29,1.1
508,Cambodia,H014901,2003-05-16,2003,5,16,30.0,7.486,45.33,19.08,1.0,0.45,0.356,0.044,1.316,0.01,0.436,0.017,0.032,0.001,8.029,1.04
165,Cambodia,H014901,1997-04-19,1997,4,19,30.0,6.81,44.0,19.2,0.919,0.502,0.43,0.05,1.356,0.272,0.222,0.08,0.04,0.01,7.45,1.6
366,Cambodia,H014901,2001-03-19,2001,3,19,30.0,7.63,8.333,18.7,1.024,0.42,0.42,0.05,1.376,0.054,0.411,0.009,0.003,0.02,7.366,1.625
166,Cambodia,H014901,1997-05-16,1997,5,16,30.0,7.53,3.3,19.2,0.924,0.517,0.43,0.05,1.327,0.277,0.242,0.1,0.02,0.01,6.98,1.1
1839,Cambodia,H014901,2017-11-23,2017,11,23,30.19,7.643,108.35,16.413,0.88,0.379,0.326,0.107,1.213,0.201,0.235,0.288,0.051,0.121,8.194,0.872
506,Cambodia,H014901,2003-03-10,2003,3,10,30.0,7.69,3.33,18.84,0.966,0.505,0.37,0.051,1.408,0.008,0.378,0.017,0.005,0.018,10.979,1.2
1087,Cambodia,H014901,2008-05-25,2008,5,25,28.5,6.98,82.0,10.54,0.494,0.227,0.252,0.049,0.629,0.109,0.297,0.175,0.028,0.148,6.794,2.889
