Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3449,Lao PDR,H230102,2000-05-16,2000,5,16,29.3,7.53,23.0,11.4,1.079,0.311,0.11,0.033,0.97,0.104,0.217,0.004,0.009,0.006,6.2,0.699
3295,Lao PDR,H230102,1996-03-18,1996,3,18,26.1,8.85,10.0,9.9,0.602,0.217,0.152,0.013,0.74,0.058,0.108,0.096,0.02,0.008,7.3,2.1
2979,Lao PDR,H230102,1992-03-10,1992,3,10,24.2,7.6,12.0,13.6,0.953,0.263,0.098,0.019,1.0,0.133,0.211,0.079,0.062,0.033,8.4,1.0
3697,Lao PDR,H230102,2002-05-15,2002,5,15,28.1,7.75,48.0,10.5,0.536,0.104,0.087,0.008,1.046,0.059,0.088,0.173,0.038,0.009,7.02,0.1
3534,Lao PDR,H230102,2001-01-24,2001,1,24,26.3,7.56,10.0,11.8,0.851,0.358,0.035,0.005,0.996,0.042,0.196,0.02,0.016,0.012,6.84,1.2
3538,Lao PDR,H230102,2001-05-15,2001,5,15,28.0,8.03,19.0,11.1,0.758,0.282,0.039,0.005,0.885,0.044,0.12,0.033,0.021,0.011,6.33,0.1
2776,Lao PDR,H230102,1989-10-17,1989,10,17,26.0,7.18,50.0,10.2,0.845,0.045,0.095,0.021,0.984,0.043,0.117,0.135,0.032,0.024,7.9,3.0
2904,Lao PDR,H230102,1991-05-13,1991,5,13,30.0,7.38,9.0,10.9,0.527,0.276,0.233,0.05,0.615,0.052,0.507,0.153,0.045,0.035,6.88,0.4
3864,Lao PDR,H230102,2003-09-16,2003,9,16,28.0,6.73,91.0,7.12,0.505,0.131,0.098,0.015,0.685,0.034,0.051,0.069,0.052,0.024,7.6,1.1
3445,Lao PDR,H230102,2000-01-17,2000,1,17,24.6,7.5,10.0,9.6,0.897,0.263,0.196,0.029,1.125,0.108,0.189,0.03,0.032,0.003,6.8,0.1
2986,Lao PDR,H230102,1992-10-20,1992,10,20,26.0,7.85,70.0,14.9,1.032,0.344,0.114,0.057,1.123,0.124,0.283,0.448,0.055,0.02,7.01,2.3
3452,Lao PDR,H230102,2000-08-18,2000,8,18,27.3,7.13,82.0,9.9,0.783,0.195,0.089,0.026,0.876,0.045,0.302,0.176,0.09,0.017,5.6,1.3
2977,Lao PDR,H230102,1992-01-13,1992,1,13,22.6,7.59,9.0,12.3,0.874,0.2,0.185,0.022,1.032,0.095,0.122,0.007,0.056,0.018,7.31,5.2
2985,Lao PDR,H230102,1992-09-14,1992,9,14,27.8,7.81,89.0,11.5,0.789,0.163,0.105,0.053,0.864,0.022,0.175,0.197,0.021,0.01,6.8,1.9
3368,Lao PDR,H230102,1997-03-19,1997,3,19,21.5,7.74,10.0,11.2,0.728,0.276,0.208,0.026,0.904,0.159,0.271,0.007,0.017,0.007,6.0,1.1
3299,Lao PDR,H230102,1996-07-23,1996,7,23,28.1,7.25,48.0,11.5,0.692,0.256,0.143,0.028,0.79,0.097,0.164,0.129,0.044,0.031,5.7,1.1
3204,Lao PDR,H230102,1995-05-16,1995,5,16,28.2,7.21,6.0,15.4,0.964,0.216,0.275,0.026,1.035,0.156,0.256,0.172,0.034,0.014,4.8,2.1
2982,Lao PDR,H230102,1992-06-17,1992,6,17,26.8,7.21,60.0,9.9,0.617,0.26,0.098,0.015,0.747,0.028,0.311,0.125,0.038,0.029,6.8,3.8
2772,Lao PDR,H230102,1989-01-17,1989,1,17,23.4,7.65,2.0,13.6,1.112,0.135,0.235,0.01,1.277,0.115,0.179,0.044,0.019,0.012,8.9,0.6
2651,Lao PDR,H230102,1986-10-15,1986,10,15,26.6,7.53,68.0,12.3,0.781,0.284,0.173,0.017,1.105,0.056,0.091,0.117,0.027,0.001,5.47,0.8
3063,Lao PDR,H230102,1993-02-16,1993,2,16,23.4,7.69,8.0,13.7,0.878,0.244,0.167,0.02,1.007,0.131,0.235,0.059,0.027,0.009,7.61,0.1
3544,Lao PDR,H230102,2001-11-15,2001,11,15,25.3,8.16,76.0,13.2,0.897,0.067,0.046,0.023,1.112,0.121,0.12,0.114,0.038,0.008,6.013,0.1
3448,Lao PDR,H230102,2000-04-18,2000,4,18,27.3,7.5,12.0,10.5,0.985,0.171,0.102,0.03,0.974,0.164,0.161,0.002,0.01,0.005,6.3,0.1
3066,Lao PDR,H230102,1993-07-16,1993,7,16,25.2,7.2,59.0,10.0,0.741,0.12,0.062,0.029,0.904,0.025,0.112,0.055,0.021,0.04,6.02,1.0
3297,Lao PDR,H230102,1996-05-20,1996,5,20,28.6,7.46,33.0,11.7,0.684,0.261,0.168,0.046,0.851,0.132,0.152,0.126,0.037,0.021,4.9,1.2
3369,Lao PDR,H230102,1997-04-23,1997,4,23,24.2,7.6,4.0,11.3,0.722,0.265,0.2,0.024,0.953,0.141,0.238,0.01,0.019,0.006,6.2,1.0
2722,Lao PDR,H230102,1988-12-19,1988,12,19,23.0,7.59,8.0,13.0,1.145,0.162,0.24,0.015,1.277,0.105,0.219,0.044,0.018,0.014,7.6,0.8
3543,Lao PDR,H230102,2001-10-24,2001,10,24,27.4,7.9,80.0,11.6,0.684,0.136,0.04,0.02,1.053,0.044,0.309,0.068,0.04,0.024,6.21,1.0
3698,Lao PDR,H230102,2002-06-18,2002,6,18,28.1,7.8,63.0,13.3,0.717,0.061,0.081,0.006,1.053,0.016,0.002,0.17,0.04,0.027,7.7,0.5
3455,Lao PDR,H230102,2000-11-20,2000,11,20,27.0,7.75,92.0,13.1,0.967,0.226,0.08,0.018,1.313,0.156,0.185,0.001,0.015,0.041,6.8,0.2
2647,Lao PDR,H230102,1986-02-18,1986,2,18,24.2,7.5,8.0,10.4,0.571,0.245,0.145,0.018,0.978,0.009,0.055,0.016,0.01,0.011,4.45,0.9
4005,Lao PDR,H230102,2004-03-18,2004,3,18,25.2,6.2,16.0,11.7,0.785,0.276,0.047,0.005,1.002,0.034,0.082,0.025,0.036,0.025,5.65,1.817
