MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H320101,2013-08-15,2013,8,15,26.3,7.29,33.5,18.6,1.3491271820448878,0.3127572016460905,0.0964347826086956,0.0158312020460358,1.64,0.0676056338028169,0.0957746478873239,0.212,0.01,0.03,8.0,0.8
Lao PDR,H320101,1993-07-14,1993,7,14,27.4,7.6,56.0,15.9,1.422,0.191,0.035,0.026,1.557,0.012,0.152,0.009,0.027,0.015,7.26,2.0
Lao PDR,H320101,1996-03-21,1996,3,21,28.0,8.04,4.0,26.4,1.89,0.63,0.091,0.004,2.407,0.027,0.244,0.094,0.031,0.007,8.77,2.4
Lao PDR,H320101,2007-10-11,2007,10,11,24.0,6.82,135.0,16.61,1.381,0.298,0.08,0.025,1.601,0.108,0.089,0.194,0.026,0.026,8.734,2.478
Lao PDR,H320101,2010-08-17,2010,8,17,27.0,7.18,22.0,15.07,1.187,0.259,0.061,0.021,1.378,0.072,0.108,0.314,0.144,0.017,7.04,3.39
Lao PDR,H320101,2005-12-12,2005,12,12,25.3,7.0,20.0,17.8,1.307,0.263,0.154,0.028,1.603,0.075,0.062,0.056,0.054,0.006,7.53,0.376
Lao PDR,H320101,1992-09-12,1992,9,12,27.0,7.92,60.0,19.4,1.394,0.398,0.133,0.044,1.602,0.123,0.295,0.302,0.065,0.025,8.5,1.0
Lao PDR,H320101,1999-07-14,1999,7,14,27.0,7.84,120.0,26.4,1.987,0.355,0.041,0.024,2.142,0.012,0.087,0.093,0.012,0.006,7.92,2.2
Lao PDR,H320101,1999-09-18,1999,9,18,25.0,8.8,195.0,13.0,1.131,0.516,0.038,0.038,1.215,0.052,0.167,0.003,0.017,0.013,6.7,5.0
Lao PDR,H320101,2010-12-15,2010,12,15,27.0,7.65,18.0,18.07,1.508,0.33,0.058,0.016,1.804,0.041,0.066,0.207,0.028,0.015,8.93,1.3
Lao PDR,H320101,2015-04-21,2015,4,21,26.5,7.25,18.0,3.6,0.295,0.0823045267489712,0.017391304347826,0.0192307692307692,0.36,0.0535211267605633,0.0416666666666666,0.39,0.01,0.02,7.26,2.7
Lao PDR,H320101,2005-05-10,2005,5,10,29.0,7.87,12.0,18.92,1.34,0.438,0.095,0.075,1.611,0.076,0.173,0.008,0.051,0.022,7.1,0.727
Lao PDR,H320101,1994-10-16,1994,10,16,26.0,7.75,50.0,27.6,1.845,0.442,0.122,0.019,2.25,0.135,0.226,0.191,0.069,0.054,8.93,1.0
Lao PDR,H320101,2008-09-17,2008,9,17,26.0,6.62,89.0,18.6,1.446,0.405,0.02,0.021,1.902,0.042,0.094,0.202,0.058,0.02,7.14,2.172
Lao PDR,H320101,2004-07-14,2004,7,14,28.0,7.85,51.0,23.4,1.902,0.336,0.036,0.01,2.0,0.039,0.258,0.362,0.03,0.031,8.56,0.055
Lao PDR,H320101,2001-09-17,2001,9,17,27.0,8.2,121.0,22.4,1.465,0.711,0.016,0.009,1.583,0.016,0.119,0.237,0.04,0.016,6.78,0.8
Lao PDR,H320101,2011-08-17,2011,8,17,27.0,7.4,17.0,17.4,1.444,0.254,0.028,0.015,1.639,0.141,0.088,0.196,0.017,0.014,6.78,1.387
Lao PDR,H320101,1993-09-15,1993,9,15,27.9,7.69,56.0,22.2,1.836,0.459,0.053,0.018,2.378,0.023,0.104,0.138,0.03,0.015,8.01,2.1
Lao PDR,H320101,1986-06-17,1986,6,17,27.2,7.52,36.0,17.6,1.636,0.116,0.067,0.022,1.695,0.042,0.115,0.146,0.024,0.017,6.21,2.7
Lao PDR,H320101,1995-09-17,1995,9,17,26.0,7.95,145.0,24.3,1.7,0.566,0.125,0.022,2.163,0.011,0.131,0.23,0.028,0.054,8.13,0.5
